index,full_path,relative_path,file_name
81,https://www.classcentral.com/subject/business-intelligence,/subject/business-intelligence,81.html
82,https://www.classcentral.com/subject/accounting,/subject/accounting,82.html
83,https://www.classcentral.com/subject/human-resources,/subject/human-resources,83.html
84,https://www.classcentral.com/subject/project-management,/subject/project-management,84.html
85,https://www.classcentral.com/subject/sales,/subject/sales,85.html
86,https://www.classcentral.com/subject/design-thinking,/subject/design-thinking,86.html
87,https://www.classcentral.com/subject/business-software,/subject/business-software,87.html
88,https://www.classcentral.com/subject/risk-management,/subject/risk-management,88.html
89,https://www.classcentral.com/subject/csr,/subject/csr,89.html
9,https://www.classcentral.com/subject/engineering,/subject/engineering,9.html
90,https://www.classcentral.com/subject/customer-service,/subject/customer-service,90.html
91,https://www.classcentral.com/subject/nonprofit,/subject/nonprofit,91.html
92,https://www.classcentral.com/subject/innovation,/subject/innovation,92.html
93,https://www.classcentral.com/subject/operations-management,/subject/operations-management,93.html
95,https://www.classcentral.com/subject/history,/subject/history,95.html
96,https://www.classcentral.com/subject/literature,/subject/literature,96.html
97,https://www.classcentral.com/subject/language-learning,/subject/language-learning,97.html
98,https://www.classcentral.com/subject/grammar-writing,/subject/grammar-writing,98.html
99,https://www.classcentral.com/subject/philosophy,/subject/philosophy,99.html
